[0.01240961 0.01250479 0.02207492 0.08359214]
[0.01208501 0.01215905 0.02373322 0.07078608]
[0.01312078 0.0153748  0.01412724 0.05130713]
[0.00871649 0.03196854 0.01278324 0.04279569]
[0.02644343 0.03486907 0.01802876 0.0448504 ]
[0.04501322 0.03915666 0.08359214 0.07021701]
[0.02642148 0.04602133 0.07078608 0.13603936]
[0.00844662 0.02207492 0.05130713 0.47527293]
[0.01367876 0.02373322 0.04279569 0.06877386]
[0.00481712 0.01412724 0.0448504  0.0351547 ]
[0.00998799 0.01278324 0.07021701 0.03308976]
[0.01867467 0.01802876 0.13603936 0.09444274]
[0.01250479 0.08359214 0.47527293 0.31952118]
[0.01215905 0.07078608 0.06877386 0.04032624]
[0.0153748  0.05130713 0.0351547  0.06429412]
[0.03196854 0.04279569 0.03308976 0.30696932]
[0.03486907 0.0448504  0.09444274 0.05584945]
[0.03915666 0.07021701 0.31952118 0.02313827]
[0.04602133 0.13603936 0.04032624 0.08408039]
[0.02207492 0.47527293 0.06429412 0.97468002]
[0.02373322 0.06877386 0.30696932 0.10688027]
[0.01412724 0.0351547  0.05584945 0.03661291]
[0.01278324 0.03308976 0.02313827 0.02777403]
[0.01802876 0.09444274 0.08408039 0.06482133]
[0.08359214 0.31952118 0.97468002 0.52162644]
[0.07078608 0.04032624 0.10688027 0.053588  ]
[0.05130713 0.06429412 0.03661291 0.05935305]
[0.04279569 0.30696932 0.02777403 0.10633582]
[0.0448504  0.05584945 0.06482133 0.01504194]
[0.07021701 0.02313827 0.52162644 0.00803922]
[0.13603936 0.08408039 0.053588   0.0059415 ]
[0.47527293 0.97468002 0.05935305 0.08032755]
[0.06877386 0.10688027 0.10633582 0.00760293]
[0.0351547  0.03661291 0.01504194 0.01727033]
[0.03308976 0.02777403 0.00803922 0.06873906]
[0.09444274 0.06482133 0.0059415  0.0396585 ]
[0.31952118 0.52162644 0.08032755 0.05048058]
[0.04032624 0.053588   0.00760293 0.01221575]
[0.06429412 0.05935305 0.01727033 0.07621354]
[0.30696932 0.10633582 0.06873906 0.05303403]
[0.05584945 0.01504194 0.0396585  0.01293606]
[0.02313827 0.00803922 0.05048058 0.01369295]
[0.08408039 0.0059415  0.01221575 0.00974666]
[0.97468002 0.08032755 0.07621354 0.07866159]
[0.10688027 0.00760293 0.05303403 0.00974645]
[0.03661291 0.01727033 0.01293606 0.00969087]
[0.02777403 0.06873906 0.01369295 0.02493898]
[0.06482133 0.0396585  0.00974666 0.01388783]
[0.52162644 0.05048058 0.07866159 0.03065807]
[0.053588   0.01221575 0.00974645 0.00557186]
[0.05935305 0.07621354 0.00969087 0.00683955]
[0.10633582 0.05303403 0.02493898 0.00250475]
[0.01504194 0.01293606 0.01388783 0.00633185]
[0.00803922 0.01369295 0.03065807 0.00362677]
[0.0059415  0.00974666 0.00557186 0.00106563]
[0.08032755 0.07866159 0.00683955 0.00142086]
[0.00760293 0.00974645 0.00250475 0.00054588]
[0.01727033 0.00969087 0.00633185 0.00093256]
[0.06873906 0.02493898 0.00362677 0.0010782 ]
[0.0396585  0.01388783 0.00106563 0.00050481]
[0.05048058 0.03065807 0.00142086 0.        ]
[0.01221575 0.00557186 0.00054588 0.        ]
[0.07621354 0.00683955 0.00093256 0.        ]
[0.05303403 0.00250475 0.0010782  0.        ]
[0.01293606 0.00633185 0.00050481 0.        ]
[0.01369295 0.00362677 0.00022192 0.        ]
[0.00974666 0.00106563 0.         0.        ]
[0.07866159 0.00142086 0.         0.        ]
[0.00974645 0.00054588 0.         0.        ]
[0.00969087 0.00093256 0.         0.        ]
[0.02493898 0.0010782  0.         0.        ]
[0.01388783 0.00050481 0.         0.        ]
[0.03065807 0.00022192 0.         0.        ]
[0.00557186 0.         0.         0.        ]
[0.00683955 0.         0.         0.        ]
[0.00250475 0.         0.         0.        ]
[0.00633185 0.         0.         0.        ]
[0.00362677 0.         0.         0.        ]
[0.00106563 0.         0.         0.        ]
[0.00142086 0.         0.         0.        ]
[0.00054588 0.         0.         0.        ]
[0.00093256 0.         0.         0.        ]
[0.0010782 0.        0.        0.       ]
[0.00050481 0.         0.         0.        ]
[0.00022192 0.         0.         0.        ]
